id,name
1,バックエンド
2,フロントエンド
3,データベース
4,フレームワーク
5,クラウド
6,管理ツール
7,テストツール
8,セキュリティ
9,コンテナ/仮想化
10,WEBサーバ
11,コンポーネントライブラリ
12,ETLツール
13,開発エディタ
14,OS
15,その他
